,Name,Address,Capital City,Regional indicator,Ladder score,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,Region,Subregion
27,Italy,"SP459, 06042 Campello sul Clitunno PG, Italy",Rome,Western Europe,6.483,0.045,6.572,6.395,10.623,0.88,73.8,0.693,-0.084,0.866,2.43,1.393,0.94,0.798,0.379,0.133,0.047,2.794,Europe,Southern Europe
28,Slovenia,"Slivna 24, 1252 Vače, Slovenia",Ljubljana,Central and Eastern Europe,6.461,0.043,6.546,6.376,10.529,0.948,71.4,0.949,-0.101,0.806,2.43,1.36,1.093,0.722,0.69,0.122,0.085,2.388,Europe,Southern Europe
29,Guatemala,"Unnamed Road, Guatemala",Guatemala City,Latin America and Caribbean,6.435,0.073,6.577,6.292,9.053,0.813,64.958,0.906,-0.038,0.775,2.43,0.845,0.79,0.519,0.638,0.163,0.105,3.375,Americas,Central America
30,Uruguay,"Unnamed Road, 97000 Departamento de Durazno, Uruguay",Montevideo,Latin America and Caribbean,6.431,0.046,6.521,6.341,9.966,0.925,69.1,0.896,-0.092,0.59,2.43,1.164,1.042,0.649,0.625,0.128,0.223,2.6,Americas,South America
31,Singapore,"Unnamed Road, Singapore",Singapore,Southeast Asia,6.377,0.043,6.46,6.293,11.488,0.915,76.953,0.927,-0.018,0.082,2.43,1.695,1.019,0.897,0.664,0.176,0.547,1.379,Asia,South-Eastern Asia
32,Kosovo,"Te Xhamia e Madhe, Prishtinë",Pristina,Central and Eastern Europe,6.372,0.059,6.487,6.257,9.318,0.821,63.813,0.869,0.257,0.917,2.43,0.937,0.807,0.483,0.593,0.356,0.014,3.182,Europe,Eastern Europe
33,Slovakia,"Unnamed Road, 976 46 Valaská, Slovakia",Bratislava,Central and Eastern Europe,6.331,0.041,6.411,6.251,10.369,0.936,69.201,0.766,-0.124,0.911,2.43,1.304,1.066,0.653,0.468,0.107,0.018,2.714,Europe,Eastern Europe
34,Brazil,"Unnamed Road, Guarantã do Norte - MT, 78520-000, Brazil",Brasília,Latin America and Caribbean,6.33,0.043,6.415,6.245,9.577,0.882,66.601,0.804,-0.071,0.756,2.43,1.028,0.944,0.571,0.514,0.142,0.117,3.015,Americas,South America
35,Mexico,"78675 San Luis Potosi, Mexico",Mexico City,Latin America and Caribbean,6.317,0.053,6.42,6.213,9.859,0.831,68.597,0.862,-0.147,0.799,2.43,1.126,0.83,0.634,0.585,0.092,0.089,2.961,Americas,Central America
36,Jamaica,"Unnamed Road, Jamaica",Kingston,Latin America and Caribbean,6.309,0.156,6.615,6.004,9.186,0.877,67.5,0.89,-0.137,0.884,2.43,0.891,0.932,0.599,0.618,0.099,0.035,3.135,Americas,Caribbean
37,Lithuania,"Unnamed Road, Balsiai 83476, Lithuania",Vilnius,Central and Eastern Europe,6.255,0.045,6.344,6.167,10.499,0.935,67.906,0.773,-0.203,0.826,2.43,1.35,1.065,0.612,0.476,0.056,0.073,2.624,Europe,Northern Europe
38,Cyprus,"Unnamed Road, Cyprus",Nicosia,Western Europe,6.223,0.049,6.319,6.128,10.576,0.802,73.898,0.763,-0.015,0.844,2.43,1.377,0.765,0.801,0.464,0.178,0.061,2.578,Europe,Southern Europe
39,Estonia,"Rausi, Metsla, 73307 Järva maakond, Estonia",Tallinn,Central and Eastern Europe,6.189,0.038,6.263,6.115,10.481,0.941,68.8,0.909,-0.106,0.527,2.43,1.344,1.079,0.64,0.641,0.119,0.263,2.103,Europe,Northern Europe
40,Panama,"Colón District, Panama",Panama City,Latin America and Caribbean,6.18,0.073,6.323,6.036,10.35,0.896,69.652,0.872,-0.166,0.856,2.43,1.298,0.976,0.667,0.596,0.079,0.053,2.509,Americas,Central America
41,Uzbekistan,"R-61, Uzbekistan",Tashkent,Commonwealth of Independent States,6.179,0.068,6.312,6.045,8.836,0.918,65.255,0.97,0.311,0.515,2.43,0.769,1.027,0.528,0.716,0.391,0.271,2.477,Asia,Central Asia
42,Chile,"Unnamed Road, Vicuña, Coquimbo, Chile",Santiago,Latin America and Caribbean,6.172,0.046,6.262,6.081,10.071,0.882,70,0.742,-0.044,0.83,2.43,1.2,0.946,0.678,0.438,0.159,0.07,2.682,Americas,South America
43,Poland,"Unnamed Road, Poland",Warsaw,Central and Eastern Europe,6.166,0.04,6.245,6.087,10.382,0.898,69.702,0.841,-0.165,0.735,2.43,1.309,0.982,0.668,0.558,0.08,0.13,2.438,Europe,Eastern Europe
44,Kazakhstan,"Ulytau District, Kazakhstan",Astana,Commonwealth of Independent States,6.152,0.047,6.243,6.06,10.155,0.952,65.2,0.853,-0.069,0.733,2.43,1.23,1.103,0.527,0.573,0.143,0.132,2.446,Asia,Central Asia
45,Romania,"DC27, 507113, Romania",Bucharest,Central and Eastern Europe,6.14,0.057,6.253,6.027,10.284,0.832,67.355,0.845,-0.219,0.938,2.43,1.275,0.832,0.595,0.564,0.045,0.001,2.83,Europe,Eastern Europe
46,Kuwait,"Al-Salman, Iraq",Kuwait City,Middle East and North Africa,6.106,0.066,6.235,5.977,10.817,0.843,66.9,0.867,-0.104,0.736,2.43,1.461,0.857,0.58,0.591,0.12,0.13,2.368,Asia,Western Asia
47,Serbia,"Unnamed Road, Jabučje, Serbia",Belgrade,Central and Eastern Europe,6.078,0.053,6.181,5.974,9.787,0.873,68.6,0.778,0.002,0.835,2.43,1.101,0.924,0.634,0.482,0.189,0.066,2.682,Europe,Southern Europe
48,El Salvador,"Unnamed Road, El Salvador",San Salvador,Latin America and Caribbean,6.061,0.065,6.188,5.933,9.054,0.762,66.402,0.888,-0.11,0.688,2.43,0.845,0.675,0.565,0.615,0.116,0.16,3.085,Americas,Central America
49,Mauritius,"b48 Côte d’Or Road, Vacoas-Phœnix, Mauritius",Port Louis,Sub-Saharan Africa,6.049,0.059,6.165,5.933,10.008,0.905,66.701,0.867,-0.054,0.789,2.43,1.178,0.996,0.574,0.59,0.153,0.096,2.462,Africa,Eastern Africa
50,Latvia,"Unnamed Road, Mālpils novads, LV-2152, Latvia",Riga,Central and Eastern Europe,6.032,0.036,6.103,5.961,10.315,0.927,67.1,0.715,-0.162,0.8,2.43,1.285,1.047,0.587,0.405,0.082,0.089,2.536,Europe,Northern Europe
51,Colombia,"Puerto Gaitán, Meta, Colombia",Bogotá,Latin America and Caribbean,6.012,0.061,6.132,5.892,9.557,0.847,68.001,0.837,-0.135,0.841,2.43,1.021,0.866,0.615,0.554,0.1,0.063,2.794,Americas,South America
52,Hungary,"Tiszakécske, Unnamed Road, Hungary",Budapest,Central and Eastern Europe,5.992,0.047,6.085,5.899,10.358,0.943,68,0.755,-0.186,0.876,2.43,1.301,1.083,0.615,0.454,0.067,0.04,2.432,Europe,Eastern Europe
53,Thailand,"Unnamed Road, Tambon Hankha, Amphoe Hankha, Chang Wat Chai Nat 17130, Thailand",Bangkok,Southeast Asia,5.985,0.047,6.077,5.893,9.805,0.888,67.401,0.884,0.287,0.895,2.43,1.107,0.957,0.596,0.611,0.375,0.028,2.309,Asia,South-Eastern Asia
54,Nicaragua,"NN-253, Nicaragua",Managua,Latin America and Caribbean,5.972,0.083,6.134,5.81,8.62,0.864,67.657,0.836,0.02,0.664,2.43,0.693,0.904,0.604,0.553,0.201,0.176,2.841,Americas,Central America
55,Japan,"Kamitatsuno, Tatsuno, Kamiina District, Nagano 399-0421, Japan",Tokyo,East Asia,5.94,0.04,6.02,5.861,10.611,0.884,75.1,0.796,-0.258,0.638,2.43,1.389,0.949,0.838,0.504,0.02,0.192,2.048,Asia,Eastern Asia
56,Argentina,"Presidente Roque Sáenz Peña Department, Cordoba, Argentina",Buenos Aires,Latin America and Caribbean,5.929,0.056,6.04,5.819,9.962,0.898,69,0.828,-0.182,0.834,2.43,1.162,0.98,0.646,0.544,0.069,0.067,2.461,Americas,South America
58,Honduras,"Unnamed Road, Honduras",Tegucigalpa,Latin America and Caribbean,5.919,0.082,6.081,5.758,8.648,0.812,67.3,0.857,0.081,0.809,2.43,0.703,0.787,0.593,0.578,0.241,0.083,2.934,Americas,Central America
59,Croatia,"Unnamed Road, 47244, Gornje Primišlje, Croatia",Zagreb,Central and Eastern Europe,5.882,0.048,5.975,5.788,10.217,0.924,70.799,0.754,-0.118,0.939,2.43,1.251,1.039,0.703,0.453,0.111,0,2.325,Europe,Southern Europe
60,Philippines,Philippines,Manila,Southeast Asia,5.88,0.052,5.982,5.778,9.076,0.83,62,0.917,-0.097,0.742,2.43,0.853,0.828,0.426,0.651,0.125,0.126,2.872,Asia,South-Eastern Asia
61,Korea,"Unnamed Road, South Pyongan, North Korea",Pyongyang,East Asia,5.845,0.042,5.928,5.763,10.651,0.799,73.9,0.672,-0.083,0.727,2.43,1.403,0.758,0.801,0.353,0.134,0.135,2.262,Asia,Eastern Asia
62,Peru,"10210, Peru",Lima,Latin America and Caribbean,5.84,0.075,5.988,5.692,9.458,0.832,68.25,0.822,-0.154,0.891,2.43,0.986,0.833,0.623,0.536,0.087,0.031,2.744,Americas,South America
63,Bosnia and Herzegovina,"Unnamed Road, Bosnia and Herzegovina",Sarajevo,Central and Eastern Europe,5.813,0.05,5.911,5.715,9.59,0.87,68.098,0.706,0.113,0.931,2.43,1.032,0.919,0.618,0.395,0.261,0.005,2.583,Europe,Southern Europe
64,Moldova,"Unnamed Road, Dolinnoe, Moldova",Chișinău,Commonwealth of Independent States,5.766,0.046,5.856,5.677,9.454,0.857,65.699,0.822,-0.079,0.918,2.43,0.985,0.888,0.542,0.536,0.137,0.013,2.665,Europe,Eastern Europe
65,Ecuador,"Simon Bolivar (Cab. en Mushullacta), Ecuador",Quito,Latin America and Caribbean,5.764,0.057,5.875,5.653,9.313,0.821,68.8,0.842,-0.124,0.843,2.43,0.935,0.806,0.64,0.56,0.107,0.062,2.653,Americas,South America
66,Kyrgyzstan,"Ak-Talaa District, Kyrgyzstan",Bishkek,Commonwealth of Independent States,5.744,0.046,5.834,5.653,8.538,0.893,64.401,0.935,0.119,0.908,2.43,0.665,0.971,0.501,0.673,0.266,0.02,2.648,Asia,Central Asia
67,Greece,"Unnamed Road, Makrakomi 350 11, Greece",Athens,Western Europe,5.723,0.046,5.813,5.632,10.279,0.823,72.6,0.582,-0.288,0.823,2.43,1.273,0.811,0.76,0.243,0,0.074,2.561,Europe,Southern Europe
68,Bolivia,"Unnamed Road, Bolivia",Sucre,Latin America and Caribbean,5.716,0.053,5.819,5.613,9.046,0.81,63.901,0.875,-0.077,0.839,2.43,0.842,0.782,0.486,0.6,0.138,0.064,2.805,Americas,South America
69,Mongolia,"Mandalgovi - Erdenedalai Rd, Sangiindalai, Mongolia",Ulan Bator,East Asia,5.677,0.042,5.76,5.595,9.4,0.935,62.5,0.708,0.116,0.856,2.43,0.966,1.065,0.442,0.397,0.263,0.053,2.492,Asia,Eastern Asia
70,Paraguay,"Zona Ceibo, Paraguay",Asunción,Latin America and Caribbean,5.653,0.092,5.832,5.473,9.448,0.893,65.9,0.876,0.028,0.882,2.43,0.983,0.97,0.549,0.602,0.206,0.037,2.306,Americas,South America
71,Montenegro,"E65, Montenegro",Podgorica,Central and Eastern Europe,5.581,0.054,5.686,5.475,9.94,0.858,68.699,0.708,-0.034,0.812,2.43,1.155,0.891,0.637,0.397,0.166,0.081,2.254,Europe,Southern Europe
72,Dominican Republic,"Tireo (D. M.)., Dominican Republic",Santo Domingo,Latin America and Caribbean,5.545,0.071,5.685,5.405,9.802,0.853,66.102,0.86,-0.133,0.714,2.43,1.106,0.879,0.555,0.581,0.101,0.144,2.178,Americas,Caribbean
73,Cyprus,"Unnamed Road, Cyprus",Nicosia,Western Europe,5.536,0.051,5.636,5.435,10.576,0.82,73.898,0.795,0.012,0.626,2.43,1.377,0.806,0.801,0.503,0.196,0.2,1.653,Europe,Southern Europe
74,Belarus,"Unnamed Road, Belarus",Minsk,Commonwealth of Independent States,5.534,0.047,5.625,5.442,9.853,0.91,66.253,0.65,-0.18,0.627,2.43,1.124,1.007,0.56,0.326,0.07,0.199,2.247,Europe,Eastern Europe
75,Russia,"Krasnoyarsk Krai, Russia, 648365",Moscow,Commonwealth of Independent States,5.477,0.033,5.541,5.413,10.189,0.903,64.703,0.718,-0.111,0.845,2.43,1.241,0.992,0.511,0.409,0.115,0.06,2.148,Europe,Eastern Europe
76,Tajikistan,"Tojikaobod, Tajikistan",Dushanbe,Commonwealth of Independent States,5.466,0.034,5.532,5.4,8.091,0.86,64.281,0.832,-0.056,0.553,2.43,0.508,0.895,0.498,0.548,0.152,0.247,2.619,Asia,Central Asia
77,Vietnam,"Hương Lộc, Nam Đông, Quảng Nam, Vietnam",Hanoi,Southeast Asia,5.411,0.039,5.488,5.334,8.973,0.85,68.034,0.94,-0.098,0.796,2.43,0.817,0.873,0.616,0.679,0.124,0.091,2.211,Asia,South-Eastern Asia
78,Libya,"Murzuq District, Libya",Tripoli,Middle East and North Africa,5.41,0.076,5.558,5.262,9.622,0.827,62.3,0.771,-0.087,0.667,2.43,1.044,0.821,0.435,0.474,0.131,0.174,2.331,Africa,Northern Africa
79,Malaysia,"Unnamed Road, 96000 Balingian, Sarawak, Malaysia",Kuala Lumpur,Southeast Asia,5.384,0.049,5.48,5.289,10.238,0.817,67.102,0.895,0.125,0.839,2.43,1.259,0.797,0.587,0.624,0.27,0.064,1.784,Asia,South-Eastern Asia
80,Indonesia,"Unnamed Road, Langi, Bontocani, Bone, Sulawesi Selatan 92768, Indonesia",Jakarta,Southeast Asia,5.345,0.056,5.454,5.235,9.365,0.811,62.236,0.873,0.542,0.867,2.43,0.954,0.786,0.433,0.598,0.541,0.046,1.987,Asia,South-Eastern Asia
81,Congo,"Ewo, Republic of the Congo",Brazzaville,Sub-Saharan Africa,5.342,0.097,5.533,5.151,8.117,0.636,58.221,0.695,-0.068,0.745,2.43,0.518,0.392,0.307,0.381,0.144,0.124,3.476,Africa,Middle Africa
82,China,"Unnamed Road, Tongwei Xian, Dingxi Shi, Gansu Sheng, China",Beijing,East Asia,5.339,0.029,5.397,5.281,9.673,0.811,69.593,0.904,-0.146,0.755,2.43,1.061,0.785,0.665,0.636,0.093,0.117,1.982,Asia,Eastern Asia
83,Ivory Coast,"Unnamed Road, Côte d'Ivoire",Yamoussoukro,Sub-Saharan Africa,5.306,0.078,5.46,5.152,8.551,0.644,50.114,0.741,-0.016,0.794,2.43,0.669,0.409,0.052,0.438,0.177,0.092,3.469,Africa,Western Africa
84,Armenia,"Khosrov Forest State Reserve, Armenia",Yerevan,Commonwealth of Independent States,5.283,0.058,5.397,5.168,9.487,0.799,67.055,0.825,-0.168,0.629,2.43,0.996,0.758,0.585,0.54,0.079,0.198,2.127,Asia,Western Asia
85,Nepal,"Bhanumati - Chitre sadak, Bhanumati 33800, Nepal",Kathmandu,South Asia,5.269,0.07,5.406,5.132,8.12,0.774,64.233,0.782,0.152,0.727,2.43,0.519,0.702,0.496,0.488,0.287,0.135,2.642,Asia,Southern Asia
87,Maldives,"Faafu Atoll, Maldives",Malé,South Asia,5.198,0.072,5.339,5.057,9.826,0.913,70.6,0.854,0.024,0.825,2.43,1.115,1.015,0.697,0.575,0.204,0.073,1.52,Asia,Southern Asia
88,Azerbaijan,"Şahlıq yolu, Ramal, Azerbaijan",Baku,Commonwealth of Independent States,5.171,0.04,5.25,5.091,9.569,0.836,65.656,0.814,-0.223,0.506,2.43,1.025,0.841,0.541,0.526,0.043,0.276,1.919,Asia,Western Asia
89,Cameroon,"Mbam-et-Kim, Cameroon",Yaoundé,Sub-Saharan Africa,5.142,0.074,5.288,4.996,8.189,0.71,53.515,0.731,0.026,0.848,2.43,0.543,0.556,0.159,0.425,0.205,0.058,3.195,Africa,Middle Africa
90,Senegal,"Unnamed Road, Senegal",Dakar,Sub-Saharan Africa,5.132,0.068,5.266,4.998,8.118,0.71,59.802,0.695,-0.046,0.801,2.43,0.518,0.558,0.357,0.381,0.158,0.088,3.071,Africa,Western Africa
91,Albania,"Harta Shtermen: Perimore - Radiostacion - Zalli Gostimes, Shtërmen, Albania",Tirana,Central and Eastern Europe,5.117,0.059,5.234,5.001,9.52,0.697,68.999,0.785,-0.03,0.901,2.43,1.008,0.529,0.646,0.491,0.168,0.024,2.25,Europe,Southern Europe
92,Macedonia,"A4, North Macedonia",Skopje,Central and Eastern Europe,5.101,0.051,5.202,5.001,9.693,0.805,65.474,0.751,0.038,0.905,2.43,1.068,0.772,0.535,0.45,0.212,0.022,2.042,Europe,Southern Europe
93,Ghana,"Brong Ahafo Region, Ghana",Accra,Sub-Saharan Africa,5.088,0.067,5.219,4.958,8.58,0.727,57.586,0.807,0.123,0.848,2.43,0.68,0.595,0.287,0.517,0.268,0.058,2.684,Africa,Western Africa
